"1","BT00250 ","1&frasl;4&#733; ","2000 "," 18.00 "," 15.00 ","19.00","16.00"
"2","BT00312 ","5&frasl;16&#733; ","2000 "," 21.00 "," 17.00 ","22.00","18.00"
"3","BT00375 ","3&frasl;8&#733; ","2000 "," 24.00 "," 20.00 ","25.00","21.00"
"4","BT00437 ","7&frasl;16&#733; ","2000 "," 33.00 "," 27.00 ","34.00","28.00"
"5","BT00500 ","1&frasl;2&#733; ","2000 "," 41.00 "," 35.00 ","42.00","36.00"
"6","BT00562 ","9&frasl;16&#733; ","2000 "," 49.00 "," 43.00 ","51.00","45.00"
"7","BT00625 ","5&frasl;8&#733; ","1000 "," 36.00 "," 32.00 ","37.00","33.00"
"8","BT00687 ","11&frasl;16&#733; ","1000 "," 40.00 "," 35.00 ","41.00","36.00"
"9","BT00750 ","3&frasl;4&#733; ","1000 "," 44.00 "," 39.00 ","46.00","40.00"
"10","BT00812 ","13&frasl;16&#733; ","1000 "," 48.00 "," 43.00 ","50.00","45.00"
"11","BT00875 ","7&frasl;8&#733; ","1000 "," 52.00 "," 48.00 ","54.00","50.00"
"12","BT00937 ","15&frasl;16&#733; ","500 "," 28.00 "," 25.00 ","29.00","26.00"
"13","BT01000 ","1&#733; ","500 "," 30.00 "," 26.00 ","31.00","27.00"
"14","BT01125 ","1-1&frasl;8&#733; ","500 "," 34.00 "," 31.00 ","35.00","32.00"
"15","BT01250 ","1-1&frasl;4&#733; ","500 "," 41.00 "," 36.00 ","42.00","37.00"
"16","BT01375 ","1-3&frasl;8&#733; ","500 "," 47.00 "," 42.00 ","49.00","43.00"
"17","BT01500 ","1-1&frasl;2&#733; ","500 "," 54.00 "," 50.00 ","56.00","52.00"
"18","BT01750 ","1-3&frasl;4&#733; ","500 "," 62.00 "," 56.00 ","64.00","58.00"
"19","BT02000","2&#733;","250"," 36.00"," 33.00","37.00","34.00"
"1","420-0500 ","1&frasl;2&#733;&times;36 yds ","18 "," 62.00 "," 60.00 ","64.00","62.00"
"2","420-0750 ","3&frasl;4&#733;&times;36 yds ","12 "," 76.00 "," 73.00 ","79.00","76.00"
"3","420-1000 ","1&#733;&times;36 yds ","9 "," 96.00 "," 91.00 ","99.00","94.00"
"4","420-1500 ","1-1&frasl;2&#733;&times;36 yds ","6 "," 165.00 "," 160.00 ","171.00","166.00"
"5","420-2000 ","2&#733;&times;36 yds ","6 "," 193.00 "," 182.00 ","200.00","188.00"
"6","420-3000","3&#733;&times;36 yds","4"," 352.00"," 338.00","364.00","350.00"
"1","421-0250 ","1&frasl;4&#733;&times;36 yds ","36 "," 33.00"," 32.00","34.00","33.00"
"2","421-0375 ","3&frasl;8&#733;&times;36 yds ","32 "," 45.00 "," 43.00 ","47.00","45.00"
"3","421-0500 ","1&frasl;2&#733;&times;36 yds ","18 "," 50.00 "," 48.00 ","52.00","50.00"
"4","421-0750 ","3&frasl;4&#733;&times;36 yds ","12 "," 63.00 "," 60.00 ","65.00","62.00"
"5","421-1000 ","1&#733;&times;36 yds ","9 "," 77.00 "," 74.00 ","80.00","77.00"
"6","421-1500 ","1-1&frasl;2&#733;&times;36 yds ","6 "," 116.00 "," 112.00 ","120.00","116.00"
"7","421-2000 ","2&#733;&times;36 yds ","6 "," 156.00 "," 149.00 ","161.00","154.00"
"8","421-3000 ","3&#733;&times;36 yds ","4 "," 233.00 "," 224.00 ","241.00","232.00"
"9","421-4000","4&#733;&times;36 yds","2"," 310.00"," 297.00","321.00","307.00"
"1","213-0250 ","1&frasl;4&#733;&times;60 yds ","72 "," 14.00 "," 12.00 ","14.50","12.50"
"2","213-0375 ","3&frasl;8&#733;&times;60 yds ","72 "," 19.00 "," 17.00 ","20.00","18.00"
"3","213-0500 ","1&frasl;2&#733;&times;60 yds ","72 "," 21.00 "," 20.00 ","22.00","21.00"
"4","213-0625 ","5&frasl;8&#733;&times;60 yds ","48 "," 23.00 "," 22.00 ","24.00","23.00"
"5","213-0750 ","3&frasl;4&#733;&times;60 yds ","48 "," 24.00 "," 23.00 ","25.00","24.00"
"6","213-1000 ","1&#733;&times;60 yds ","36 "," 29.00 "," 28.00 ","30.00","29.00"
"7","213-1250 ","1-1&frasl;4&#733;&times;60 yds ","24 "," 38.00 "," 37.00 ","39.00","38.00"
"8","213-1500 ","1-1&frasl;2&#733;&times;60 yds ","24 "," 43.00 "," 41.00 ","45.00","42.00"
"9","213-2000 ","2&#733;&times;60 yds ","24 "," 58.00 "," 56.00 ","60.00","58.00"
"10","213-2500 ","2-1&frasl;2&#733;&times;60 yds ","16 "," 86.00 "," 83.00 ","89.00","86.00"
"11","213-3000 ","3&#733;&times;60 yds ","12 "," 87.00 "," 84.00 ","90.00","87.00"
"12","213-4000 ","4&#733;&times;60 yds ","8 "," 158.00 "," 149.00 ","164.00","154.00"
"13","213-5000 ","5&#733;&times;60 yds ","8 "," 197.00 "," 187.00 ","204.00","194.00"
"14","213-6000 ","6&#733;&times;60 yds ","8 "," 236.00 "," 224.00 ","244.00","232.00"
"15","213-8000 ","8&#733;&times;60 yds ","4 "," 314.00 "," 298.00 ","325.00","308.00"
"16","213-10000","10&#733;&times;60 yds","4"," 393.00"," 372.00","407.00","385.00"
"1","234-0500 ","1&frasl;2&#733;&times;60 yds ","72 "," 4.10 "," 4.00 ","4.25","4.15"
"2","234-0750 ","3&frasl;4&#733;&times;60 yds ","48 "," 5.50 "," 5.35 ","5.70","5.55"
"3","234-1000 ","1&#733;&times;60 yds ","36 "," 6.75 "," 6.40 ","7.00","6.60"
"4","234-1500 ","1-1&frasl;2&#733;&times;60 yds ","24 "," 10.10 "," 9.65 ","10.50","10.00"
"5","234-2000 ","2&#733;&times;60 yds ","24 "," 13.75 "," 12.70 ","14.25","13.25"
"6","234-3000 ","3&#733;&times;60 yds ","12 "," 20.00 "," 19.00 ","21.00","20.00"
"7","234-4000 ","4&#733;&times;60 yds ","8 "," 27.00 "," 26.00 ","28.00","27.00"
"8","234-6000 ","6&#733;&times;60 yds ","8 "," 40.00 "," 38.00 ","41.00","39.00"
"9","234-8000 ","8&#733;&times;60 yds ","4 "," 54.00 "," 52.00 ","56.00","54.00"
"10","234-10000","10&#733;&times;60 yds","4"," 67.00"," 65.00","69.00","67.00"
"1","232-0500 ","1&frasl;2&#733;&times;60 yds ","72 "," 4.95 "," 4.75 ","5.15","4.95"
"2","232-0750 ","3&frasl;4&#733;&times;60 yds ","48 "," 6.85 "," 6.65 ","7.10","6.90"
"3","232-1000 ","1&#733;&times;60 yds ","36 "," 8.10 "," 7.85 ","8.40","8.10"
"4","232-1500 ","1-1&frasl;2&#733;&times;60 yds ","24 "," 12.90 "," 11.70 ","13.50","12.25"
"5","232-2000 ","2&#733;&times;60 yds ","24 "," 16.00 "," 15.50 ","17.00","16.00"
"6","232-3000 ","3&#733;&times;60 yds ","12 "," 24.50 "," 23.25 ","25.50","24.00"
"7","232-4000 ","4&#733;&times;60 yds ","8 "," 32.00 "," 31.00 ","33.00","32.00"
"8","232-6000 ","6&#733;&times;60 yds ","8 "," 49.00 "," 47.00 ","51.00","49.00"
"9","232-8000 ","8&#733;&times;60 yds ","4 "," 64.00 "," 62.00 ","66.00","64.00"
"10","232-10000","10&#733;&times;60 yds","4"," 80.00"," 78.00","83.00","81.00"
"1","425-0500 ","1&frasl;2&#733;&times;60 yds ","72 "," 20.00 "," 19.00 ","21.00","20.00"
"2","425-0750 ","3&frasl;4&#733;&times;60 yds ","48 "," 24.00 "," 23.00 ","25.00","24.00"
"3","425-1000 ","1&#733;&times;60 yds ","36 "," 29.00 "," 28.00 ","30.00","29.00"
"4","425-1500 ","1-1&frasl;2&#733;&times;60 yds ","24 "," 43.00 "," 41.00 ","45.00","42.00"
"5","425-2000 ","2&#733;&times;60 yds ","24 "," 59.00 "," 56.00 ","61.00","58.00"
"6","425-3000 ","3&#733;&times;60 yds ","12 "," 87.00 "," 83.00 ","90.00","86.00"
"7","425-4000 ","4&#733;&times;60 yds ","8 "," 117.00 "," 112.00 ","121.00","116.00"
"8","425-6000","6&#733;&times;60 yds","2"," 174.00"," 167.00","180.00","173.00"
"1","470-0250 ","1&frasl;4&#733;&times;36 yds ","144 "," 13.00 "," 11.40 ","13.50","12.00"
"2","470-0375 ","3&frasl;8&#733;&times;36 yds ","96 "," 15.00 "," 14.00 ","15.50","14.50"
"3","470-0500 ","1&frasl;2&#733;&times;36 yds ","72 "," 16.00 "," 14.50 ","16.50","15.00"
"4","470-0625 ","5&frasl;8&#733;&times;36 yds ","60 "," 17.50 "," 16.50 ","18.00","17.00"
"5","470-0750 ","3&frasl;4&#733;&times;36 yds ","48 "," 18.50 "," 17.50 ","19.00","18.00"
"6","470-1000 ","1&#733;&times;36 yds ","36 "," 23.50 "," 20.50 ","24.50","21.50"
"7","470-1500 ","1-1&frasl;2&#733;&times;36 yds ","24 "," 32.00 "," 31.00 ","33.00","32.00"
"8","470-2000 ","2&#733;&times;36 yds ","24 "," 45.00 "," 40.00 ","47.00","41.00"
"9","470-3000 ","3&#733;&times;36 yds ","12 "," 70.00 "," 65.00 ","72.00","67.00"
"10","470-4000 ","4&#733;&times;36 yds ","8 "," 91.00 "," 87.00 ","94.00","90.00"
"11","470-5000 ","5&#733;&times;36 yds ","4 "," 113.00 "," 109.00 ","117.00","113.00"
"12","470-6000 ","6&#733;&times;36 yds ","4 "," 137.00 "," 131.00 ","142.00","136.00"
"13","470-8000","8&#733;&times;36 yds","4"," 182.00"," 172.00","188.00","178.00"
"1","HDBT00187 ","3&frasl;16&#733; ","2000 "," 37.00 ","38.00"
"2","HDBT00250 ","1&frasl;4&#733; ","2000 "," 41.00 ","42.00"
"3","HDBT00312 ","5&frasl;16&#733; ","2000 "," 45.00 ","47.00"
"4","HDBT00375 ","3&frasl;8&#733; ","2000 "," 50.00 ","52.00"
"5","HDBT00437 ","7&frasl;16&#733; ","2000 "," 54.00 ","56.00"
"6","HDBT00500 ","1&frasl;2&#733; ","2000 "," 58.00 ","60.00"
"7","HDBT00562 ","9&frasl;16&#733; ","2000 "," 61.00 ","63.00"
"8","HDBT00625 ","5&frasl;8&#733; ","1000 "," 47.00 ","49.00"
"9","HDBT00687 ","11&frasl;16&#733; ","1000 "," 51.00 ","53.00"
"10","HDBT00750 ","3&frasl;4&#733; ","1000 "," 54.00 ","56.00"
"11","HDBT00812 ","13&frasl;16&#733; ","1000 "," 59.00 ","61.00"
"12","HDBT00875 ","7&frasl;8&#733; ","1000 "," 66.00 ","68.00"
"13","HDBT00937 ","15&frasl;16&#733; ","500 "," 35.00 ","36.00"
"14","HDBT01000 ","1&#733; ","500 "," 37.00 ","38.00"
"15","HDBT01250 ","1-1&frasl;4&#733; ","500 "," 47.00 ","49.00"
"16","HDBT01500 ","1-1&frasl;2&#733; ","500 "," 55.00 ","57.00"
"17","HDBT02000","2&#733;","250"," 60.00","62.00"
